"var","x","y"
2e+05,-0.75,46.25
2e+05,-0.25,46.25
2e+05,0.25,46.25
2e+05,0.75,46.25
2e+05,1.25,46.25
2e+05,1.75,46.25
2e+05,2.25,46.25
2e+05,2.75,46.25
2e+05,3.25,46.25
2e+05,3.75,46.25
2e+05,4.25,46.25
2e+05,4.75,46.25
2e+05,5.25,46.25
2e+05,5.75,46.25
2e+05,-0.75,46.75
2e+05,-0.25,46.75
2e+05,0.25,46.75
2e+05,0.75,46.75
2e+05,1.25,46.75
2e+05,1.75,46.75
2e+05,2.25,46.75
2e+05,2.75,46.75
2e+05,3.25,46.75
2e+05,3.75,46.75
2e+05,4.25,46.75
2e+05,4.75,46.75
2e+05,5.25,46.75
2e+05,5.75,46.75
2e+05,-0.75,47.25
2e+05,-0.25,47.25
2e+05,0.25,47.25
2e+05,0.75,47.25
2e+05,1.25,47.25
2e+05,1.75,47.25
2e+05,2.25,47.25
2e+05,2.75,47.25
2e+05,3.25,47.25
2e+05,3.75,47.25
2e+05,4.25,47.25
2e+05,4.75,47.25
2e+05,5.25,47.25
2e+05,5.75,47.25
2e+05,-0.75,47.75
2e+05,-0.25,47.75
2e+05,0.25,47.75
2e+05,0.75,47.75
2e+05,1.25,47.75
2e+05,1.75,47.75
2e+05,2.25,47.75
2e+05,2.75,47.75
2e+05,3.25,47.75
2e+05,3.75,47.75
2e+05,4.25,47.75
2e+05,4.75,47.75
2e+05,5.25,47.75
2e+05,5.75,47.75
2e+05,-0.75,48.25
2e+05,-0.25,48.25
2e+05,0.25,48.25
2e+05,0.75,48.25
2e+05,1.25,48.25
2e+05,1.75,48.25
2e+05,2.25,48.25
2e+05,2.75,48.25
2e+05,3.25,48.25
2e+05,3.75,48.25
2e+05,4.25,48.25
2e+05,4.75,48.25
2e+05,5.25,48.25
2e+05,5.75,48.25
2e+05,-0.75,48.75
2e+05,-0.25,48.75
2e+05,0.25,48.75
2e+05,0.75,48.75
2e+05,1.25,48.75
2e+05,1.75,48.75
2e+05,2.25,48.75
2e+05,2.75,48.75
2e+05,3.25,48.75
2e+05,3.75,48.75
2e+05,4.25,48.75
2e+05,4.75,48.75
2e+05,5.25,48.75
2e+05,5.75,48.75
